LOC,STA,STA2,STATION,NAME,LHOLD,HOLDCERT,O,NEARTOWN,COUNTY,STATE,REGION,BLOCK,LATITUDE,LONGITUDE,PRECISION,SOURCE,DATUM,DECLAT,DECLNG,NAD83,ELEV,STRATUM,BCR,HABITAT,REG,PASSED,MAP,D89,D90,D91,D92,D93,D94,D95,D96,D97,D98,Y99,D99,Y00,D00,Y01,D01,Y02,D02,Y03,D03,Y04,D04,Y05,D05,Y06,D06,Y07,D07,Y08,D08,Y09,D09,Y10,D10,Y11,D11,Y12,D12,Y13,HISTORY,YRSOP
NROC,12294,12294S,UPWO,Upper Wood Canyon,C,+,A,Laguna Hills,Orange,CA,2,333-1174,33 35 30,-117 44 41,01S,-,-,33.59167,-117.74472,-,140,90,32,coastal sage scrub,X,Y99,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,99-03,5
NROC,12295,12295U,UPWE,Upper Weir Canyon,C,+,A,Anaheim,Orange,CA,2,335-1174,33 50 20,-117 44 22,01S,-,-,33.83889,-117.73944,-,329,90,32,coastal sage scrub/grassland,X,Y99,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,99-03,5
SNLN,12296,12296U,GACO,Gardner's Cove,IW,+,I,Modesto,Stanislaus,CA,2,373-1211,37 38 12,-121 12 34,01S,-,-,37.63667,-121.20944,-,28,91,32,oak woodland/cottonwoods&willows,X,Y00,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,99-04,6
UTAH,12297,12297U,MONT,Monticello,IB,+,I,Monticello,San Juan,UT,2,372-1090,37 27 19,-109 04 02,01S,GPS,NAD27,37.45528,-109.06778,x,1519,87,16,cottonwood-willow riparian/russian olive,X,Y03,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,98-05,8
UTAH,12298,12298U,MOAB,"Moab, TNC Land on CO Riv.",P,+,I,Moab,Grand,UT,2,383-1093,38 34 31,-109 34 14,01S,GPS,NAD27,38.57528,-109.57111,x,1207,87,16,cottonwood-willow riparian/russian olive,X,Y03,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,,,X,,X,"98-07,09-10,12-",13
LANL,12299,12299U,LANL,Los Alamos,DE,+,I,Los Alamos,Los Alamos,NM,2,355-1061,35 50 21,-106 18 32,01S,-,NAD83,35.83917,-106.30889,x,2195,62,16,ponderosa/mixed conifer,X,,x,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,,X,97-,16
LBWA,12300,12300U,OFWA,O'Neill Forebay Wildl. Ar,S,+,I,Santa Nella,Merced,CA,2,370-1210,37 04 48,-121 01 16,01S,-,NAD27,37.08,-121.02222,x,32,91,32,grassland/deciduous woodland,X,Y03,X,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,,,,,,,"99-08,10",11
LBWA,12301,12301U,LBWA,Los Banos Wildlife Area,S,+,I,Los Banos,Merced,CA,2,370-1204,37 09 32,-120 47 34,01S,-,NAD27,37.15889,-120.79389,x,36,91,32,willow rip. corridor/grassl/agri.,X,Y03,X,,,,,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,"98,00-06",8
LCRI,12302,12302U,HERO,Headgate Rock,II,+,I,Parker,La Paz,AZ,2,341-1141,34 10 19,-114 17 00,01S,-,-,34.17194,-114.28333,-,110,82,33,salt cedar/mesquite/arrowweed,X,Y00,X,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,00-04,5
SNLN,12303,12303S,CISL,Christman Island,IW,+,I,Vernalis,Stanislaus,CA,2,373-1211,37 36 52,-121 11 04,01S,-,-,37.61444,-121.18444,-,30,91,32,cottonwood-willow-valley oak rip.,X,Y00,X,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,00-04,5
